id,created_at,lead_id,sustatus_id,hostel_id,cityid
1,19-03-2023 02:50,1001,1,NULL,14
2,19-03-2023 13:13,1001,2,NULL,14
3,20-03-2023 23:07,1001,3,NULL,14
4,21-03-2023 04:20,1001,4,NULL,14
5,21-03-2023 22:31,1001,5,3116,14
27,13-03-2023 00:50,1002,1,NULL,14
28,14-03-2023 05:19,1002,2,NULL,14
29,14-03-2023 15:54,1002,3,NULL,14
30,16-03-2023 00:23,1002,4,NULL,14
31,17-03-2023 05:25,1002,5,3116,14
32,17-03-2023 14:04,1002,6,3116,14
33,18-03-2023 17:15,1002,7,3116,14
34,19-03-2023 14:18,1002,8,3116,14
35,19-03-2023 18:44,1002,9,3116,14
36,21-03-2023 03:22,1002,10,3116,14
37,23-03-2023 02:10,1002,11,3116,14
38,24-03-2023 09:09,1002,12,3116,14
39,26-03-2023 02:17,1002,13,3116,14
40,26-03-2023 18:53,1002,14,3116,14
41,28-03-2023 11:43,1002,15,3116,14
42,28-03-2023 12:48,1002,16,3116,14
43,28-03-2023 22:57,1002,17,3116,14
44,29-03-2023 01:25,1002,18,3116,14
45,30-03-2023 22:46,1002,19,3116,14
53,03-03-2023 08:47,1003,1,NULL,11
54,04-03-2023 06:16,1003,2,NULL,11
55,05-03-2023 04:21,1003,3,NULL,11
56,06-03-2023 21:35,1003,4,NULL,11
57,08-03-2023 21:22,1003,5,3107,11
58,09-03-2023 10:06,1003,6,3107,11
59,10-03-2023 11:20,1003,7,3107,11
60,11-03-2023 03:22,1003,8,3107,11
61,12-03-2023 11:26,1003,9,3107,11
62,14-03-2023 00:00,1003,10,3107,11
63,14-03-2023 18:02,1003,11,3107,11
64,15-03-2023 22:39,1003,12,3107,11
79,11-03-2023 06:54,1004,1,NULL,14
80,12-03-2023 16:19,1004,2,NULL,14
81,14-03-2023 04:09,1004,3,NULL,14
82,15-03-2023 04:20,1004,4,NULL,14
83,16-03-2023 08:27,1004,5,3118,14
84,17-03-2023 16:00,1004,6,3118,14
85,19-03-2023 05:49,1004,7,3118,14
